080950560601	1	3	1	3 	10	1	08-095-056	0730	2	01-023-051	0900	0	2
080950560602	1	2	1	3 	10	1	08-095-056	0900	2	01-001-063	1000	0	2
080950560603	1	1	1	3 	9 	1	08-095-056	0625	2	01-001-065	0735	0	2
080950560604	1	1	1	3 	2 	1	08-095-056	0930	2	01-019-074	1030	0	2
080950560605	1	1	1	3 	10	1	08-095-056	0640	2	01-023-051	0810	0	2
080950560605	1	2	1	10	10	1	08-095-056	0640	5	01-012-066	0730	0	2
080950560609	1	2	1	3 	10	1	08-095-056	0730	2	01-015-052	0820	0	2
080950560611	1	1	2	3 	2 	5	08-095-057	1000	2	01-022-054	1130	0	2
080950560611	1	2	1	10	2 	1	08-095-056	1000	5	01-003-073	1045	1	2
080950560614	1	1	1	3 	7 	1	08-095-056	0700	2	01-002-052	0800	0	2
080950560620	1	1	1	3 	10	1	08-095-056	0730	2	01-003-053	0900	0	2
080950560621	1	1	1	3 	10	1	08-095-056	0710	2	01-015-066	0840	0	2
080950560621	1	4	1	4 	10	1	08-095-056	0800	3	01-001-065	0920	0	2
080950560622	1	1	1	3 	2 	1	08-095-056	0730	2	01-002-052	0830	0	2
080950560623	1	1	1	3 	10	1	08-095-056	1630	2	01-023-064	1800	0	2
080950560702	1	1	1	3 	10	1	08-095-056	0930	2	01-002-060	1030	0	2
080950560703	1	1	1	3 	10	1	08-095-056	0530	2	01-024-070	0700	0	2
080950560704	1	1	1	3 	5 	1	08-095-056	0700	2	01-003-053	0800	0	2
080950560710	1	1	1	3 	7 	1	08-095-056	0720	2	01-001-053	0850	0	2
080950560712	1	1	1	3 	2 	1	08-095-056	0610	2	01-012-060	0650	0	2
080950560715	1	1	1	3 	7 	1	08-095-056	0730	2	01-002-052	0840	0	2
080950560720	1	2	1	3 	10	1	08-095-056	0700	2	01-023-077	0830	0	2
080950560720	1	3	1	3 	10	1	08-095-056	0740	2	01-012-060	0850	0	2
080950560721	1	1	1	3 	2 	1	08-095-056	0800	2	01-012-067	0840	0	2
080950560721	1	4	1	4 	10	1	08-095-056	0800	3	01-006-071	0930	0	2
080950560802	1	1	1	3 	2 	1	08-095-056	0750	2	01-023-053	0850	0	2
080950560805	1	1	1	3 	10	1	08-095-056	0705	4	01-022-051	0820	0	2
080950560806	1	1	1	3 	2 	1	08-095-056	0800	2	01-013-075	0840	0	2
080950560808	1	1	1	3 	2 	1	08-095-056	0830	2	01-016-070	0910	0	2
080950560816	1	1	1	3 	10	1	08-095-056	0815	2	01-002-068	0930	0	2
080950560820	1	1	1	3 	7 	1	08-095-056	0530	2	01-002-055	0615	0	2
080950560902	1	1	1	3 	5 	1	08-095-056	1510	2	01-016-070	1620	0	2
080950560903	1	1	1	3 	2 	1	08-095-056	0550	2	01-023-059	0700	0	2
080950560904	1	1	1	3 	2 	1	08-095-056	0650	2	01-017-055	0820	1	2
080950560908	1	3	1	3 	10	1	08-095-056	0630	2	01-019-054	0750	0	2
080950560910	1	2	2	6 	2 	5	08-095-056	0710	5	01-023-052	0820	0	2
080950560912	1	1	1	3 	2 	1	08-095-056	0800	2	01-014-074	0825	0	2
080950560914	1	1	1	3 	2 	1	08-095-056	0830	2	01-014-072	0900	0	2
080950560914	1	2	1	3 	3 	1	08-095-056	0730	2	01-014-073	0810	3	2
080950560914	1	3	1	3 	5 	1	08-095-056	0800	2	01-014-073	0850	0	2
080950560915	1	2	1	3 	7 	1	08-095-056	0710	2	01-019-054	0810	0	2
080950560916	1	3	1	3 	7 	1	08-095-056	0800	2	01-002-052	0900	0	2
080950560916	1	4	1	3 	10	1	08-095-056	0700	2	01-022-067	0840	0	2
080950560918	1	1	1	3 	2 	1	08-095-056	0720	2	01-014-074	0750	0	2
080950560919	1	1	1	3 	7 	1	08-095-056	0715	2	01-002-054	0830	0	2
080950560922	1	1	1	3 	2 	1	08-095-056	0800	2	01-014-077	0840	0	2
080950560923	1	2	1	3 	10	1	08-095-056	0630	2	01-010-059	0810	0	2
080950560924	1	1	1	10	2 	1	08-095-056	0600	5	01-022-067	0730	2	2
080950561001	1	1	1	3 	2 	1	08-095-056	1000	2	01-014-076	1040	0	2
080950561003	1	1	1	3 	1 	1	08-095-056	1030	2	01-022-054	1050	0	2
080950561005	1	2	1	3 	10	1	08-095-056	0800	2	01-023-065	1000	0	2
080950561007	1	1	1	9 	10	1	08-095-056	1410	5	01-008-083	1500	0	2
080950561007	1	2	1	10	7 	1	08-095-056	1340	5	01-001-061	1420	0	2
080950561011	1	3	1	4 	10	1	08-095-056	0700	3	01-001-055	0800	0	2
080950561011	1	4	1	3 	10	1	08-095-056	0700	2	01-014-072	0810	0	2
080950561012	1	1	1	9 	3 	1	08-095-056	0510	5	01-008-072	0600	2	2
080950561015	1	2	1	3 	2 	1	08-095-056	0830	2	01-023-077	0950	0	2
080950561016	1	3	1	4 	7 	1	08-095-056	1100	4	01-003-053	1155	0	2
080950561017	1	1	1	3 	7 	1	08-095-056	0700	2	01-005-062	0800	0	2
080950561017	1	2	1	8 	7 	1	08-095-056	1030	5	01-001-053	1110	0	2
080950561018	1	1	1	3 	2 	1	08-095-056	0530	2	01-012-051	0600	0	2
080950561018	1	3	1	4 	5 	1	08-095-056	0800	3	01-011-075	0840	0	2
080950561021	1	1	1	3 	10	1	08-095-056	0640	2	01-002-060	0800	0	2
080950561022	1	1	1	3 	2 	1	08-095-056	0820	2	01-022-062	1000	3	2
080950561022	1	2	1	5 	7 	1	08-095-056	1330	5	01-013-075	1410	0	2
080950561112	1	1	1	3 	9 	1	08-095-056	0740	2	01-019-054	0840	0	2
080950561114	1	1	1	3 	10	1	08-095-056	0910	2	01-003-073	1020	0	2
080950561116	1	2	1	3 	10	1	08-095-056	0700	2	01-017-051	0830	0	2
080950561118	1	1	1	3 	10	1	08-095-056	0730	2	01-002-060	0830	0	2
080950561119	1	1	1	3 	2 	1	08-095-056	0900	2	01-005-055	0950	0	2
080950561121	1	1	1	3 	7 	1	08-095-056	0655	2	01-002-055	0808	0	2
080950561122	1	1	1	3 	10	1	08-095-056	0630	2	01-017-054	0820	0	2
080950561123	1	1	1	3 	2 	1	08-095-056	0725	2	01-016-070	0800	0	2
080950561201	1	4	1	3 	10	1	08-095-056	0710	2	01-002-055	0810	0	2
080950561202	1	1	1	10	10	1	08-095-056	1350	4	01-002-060	1440	0	2
